;Tool  Pocket X Offset     Y Offset     Z Offset     Diameter     Remark
T1     P1     X+0.000000   Y+0.000000   Z+57.829607  D+38.100000  ; Face mill
T2     P2     X+0.000000   Y+0.000000   Z+65.496502  D+6.000000   ; 6mm straight
T3     P3     X+0.000000   Y+0.000000   Z+70.878835  D+6.000000   ; 6mm compression
T4     P4     X+0.000000   Y+0.000000   Z+73.038672  D+8.000000   ; 8mm up
T5     P5     X+0.000000   Y+0.000000   Z+79.798835  D+6.000000   ; 6mm downcut
T6     P6     X+0.000000   Y+0.000000   Z+63.557484  D+4.000000   ; 4mm compression
T7     P7     X+0.000000   Y+0.000000   Z+56.589335  D+2.000000   ; 2mm down
T8     P8     X+0.000000   Y+0.000000   Z+61.877002  D+4.000000   ; 4mm upcut
T9     P9     X+0.000000   Y+0.000000   Z+52.888835  D+0.400000   ; 1.5 mm down
T10    P10    X+0.000000   Y+0.000000   Z+69.866502  D+3.000000   ; 3mm drill
T11    P11    X+0.000000   Y+0.000000   Z+56.368335  D+6.200000   ; 90 V bit
T12    P12    X+0.000000   Y+0.000000   Z+68.440835  D+8.000000   ; 8mm straight
T13    P13    X+0.000000   Y+0.000000   Z+63.241668  D+5.000000   ; 5mm drill
T14    P14    X+0.000000   Y+0.000000   Z+69.696002  D+0.000000   ; 1/8 ball
T15    P15    X+0.000000   Y+0.000000   Z+59.112168  D+2.000000   ; 2mm ball
T16    P16    X+0.000000   Y+0.000000   Z+62.733668  D+4.000000   ; 4mm Ball
T20    P20    X+0.000000   Y+0.000000   Z+57.023668  D+4.000000   ; 4mm Alu
T21    P21    X+0.000000   Y+0.000000   Z+56.363502  D+4.000000   ; 4mm Plast
T26    P26    X+0.000000   Y+0.000000   Z+61.280168  D+1.000000   ; 1mm downcut
T27    P27    X+0.000000   Y+0.000000   Z+62.645835  D+0.000000   ; 45 deg V bit
T99    P99    X+0.000000   Y+0.000000   Z+103.844422 D+2.000000   ; Probe
